analysis_id,5dt34c43nfv8la9
parameter_name,Total T cells - % of CD45+
gene_symbol,Tiprl
gene_accession_id,MGI:1915087
pvalue,0.4812743
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_IMM_001_001
