analysis_id,u98qm45a2ni549t
parameter_name,Tremor
parameter_id,IMPC_CSD_030_001
mouse_life_stage,Middle aged adult
pvalue,0.05537627
gene_accession_id,MGI:2140475
gene_symbol,AU040320
mouse_strain,C57BL
