parameter_name,Right kidney weight
mouse_strain,C57BL
pvalue,0.4281037
analysis_id,8hmt85324719652
gene_accession_id,MGI:1914515
parameter_id,IMPC_OWT_004_001
mouse_life_stage,Early adult
gene_symbol,Slc39a10
