analysis_id,17xx11cx270y153
gene_accession_id,MGI:1914672
pvalue,0.7564913
parameter_name,Bone Mineral Density (excluding skull)
parameter_id,IMPC_DXA_004_001
mouse_strain,C57BL
gene_symbol,Dhdds
mouse_life_stage,Early adult
