parameter_name,Midbrain
analysis_id,gn56m94zwslgns9
mouse_strain,C57BL
pvalue,0.2042976
mouse_life_stage,Early adult
gene_symbol,Rap2b
parameter_id,IMPC_GEL_029_001
gene_accession_id,MGI:1921262
