parameter_name,Aggression
analysis_id,5q34f4n7lqn7lua
pvalue,0.5743475
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2441730
parameter_id,IMPC_CSD_079_001
gene_symbol,Tbl1xr1
