Parameter_name,Lens Opacity
Gene_accession_id,MGI:1917604
parameter_id,UCDLA_EYE_017_001
Mouse_life_stage,Middle aged adult
Mouse_strain,C57BL
pvalue,0.6053946
Analysis_id,667wf73g5ov1bi4
gene_symbol,Secisbp2l
