analysis_id,i69yr76eqzld759
mouse_life_stage,Early adult
gene_symbol,Usp37
gene_accession_id,MGI:2442483
mouse_strain,C57BL
parameter_name,Persistence of hyaloid vascular system
parameter_id,IMPC_EYE_027_001
pvalue,0.9379661
