gene_symbol,Trpa1
parameter_name,Hindlimb digit - size
mouse_strain,C53BL
pvalue,0.4429075
analysis_id,ctdpv8wkx6k99gt
mouse_life_stage,Early adult
gene_accession_id,MGI:3522699
parameter_id,IMPC_CSD_047_001
