parameter_name,Right total retinal thickness
gene_symbol,Mgst2
parameter_id,IMPC_EYE_062_001
analysis_id,n0311dcu7349p93
pvalue,0.3340801
gene_accession_id,MGI:2448481
mouse_life_stage,Early adult
mouse_strain,C57BL
