analysis_id,7655099usm9v18p
pvalue,0.1175638
gene_symbol,Tbl1xr1
parameter_name,Femur
parameter_id,IMPC_XRY_024_001
mouse_life_stage,Late adult
gene_accession_id,MGI:2441730
mouse_strain,C57BL
