parameter_id,HRWLLA_CBC_014_001
analysis_id,5699h02iz4ax811
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.7002564
parameter_name,Alkaline phosphatase
gene_symbol,Slc2a8
gene_accession_id,MGI:1860103
