parameter_id,IMPC_OFD_009_001
mouse_life_stage,Late adult
pvalue,0.7589626
gene_symbol,Slc30a4
parameter_name,Whole arena average speed
analysis_id,b2m8b816d6telsw
gene_accession_id,MGI:1345282
mouse_strain,C57BL
