gene_symbol,Atg4c
analysis_id,742mzvwoj09nstx
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_033_001
parameter_name,Gait
gene_accession_id,MGI:2651854
pvalue,0.3760136
mouse_strain,C57BL
