parameter_name,White blood cell-count
gene_symbol,Zmynd8
gene_accession_id,MGI:1918025
pvalue,1.434548
mouse_life_stage,Early adult
analysis_id,05onofro8ei9adb
mouse_strain,129SV
parameter_id,M-G-P_016_001_001
