analysis_id,dvc0744uo46feey
pvalue,1.726121e-05
mouse_strain,C57BL
gene_symbol,Zmynd8
mouse_life_stage,Early adult
gene_accession_id,MGI:1918025
parameter_id,M-G-P_016_001_005
parameter_name,Mean-cell-volume
