parameter_name,Centre resting time
analysis_id,77bao4mx7mm2497
parameter_id,ESLIM_007_001_011
gene_accession_id,MGI:2441730
mouse_strain,C57BL
gene_symbol,TBL1XR1
mouse_life_stage,Late adult
pvalue,0.8873809
