parameter_name,Skull shape
gene_accession_id,MGI:1276578
pvalue,0.8758169
mouse_life_stage,Early adult
analysis_id,vv6k737h8dpfg8z
parameter_id,CCP_XRY_001_001
gene_symbol,Gfi1b
mouse_strain,C57BL
