parameter_name,lens
pvalue,0.891179
mouse_life_stage,Early adult
parameter_id,M-G-P_014_001_009
mouse_strain,C57BL
gene_symbol,Fpgs
analysis_id,w3vz97t0hb6z69a
gene_accession_id,MGI:95576
