analysis_id,2z2ynouxb70i727
gene_accession_id,MGI:2685053
pvalue,0.559049
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_PBI_009_001
parameter_name,CD4+ CD44+ CD62L- alpha beta effector T cell percentage
gene_symbol,Ntmt2
