gene_symbol,Cmpk1
analysis_id,xbcr368zb8z7h36
mouse_life_stage,Early adult
pvalue,0.9221479
parameter_id,IMPC_CSD_036_001
parameter_name,Startle response
mouse_strain,C57BL
gene_accession_id,MGI:1913838
