analysis_id,74c91gru9805cgn
pvalue,0.5049318
mouse_strain,C57BL
gene_symbol,Frmpd1
mouse_life_stage,Late adult
gene_accession_id,MGI:2446274
parameter_name,Resting NK cells - % of NK cells
parameter_id,MGP_MLN_033_001
