analysis_id,o25ety697pzfc51
mouse_life_stage,E12.5
gene_accession_id,MGI:88174
mouse_strain,C57BL
pvalue,0.9955198
parameter_name,KLRG1+ NK cells - % of NK cells
gene_symbol,Bmi1
parameter_id,MGP_IMM_036_001
