parameter_id,IMPC_IMM_073_001
gene_accession_id,MGI:2685277
mouse_strain,C57BL
pvalue,0.7641015
analysis_id,2v4cto05v3woz23
mouse_life_stage,Early adult
parameter_name,cDCs CD11b Type
gene_symbol,Zyg11b
