gene_symbol,Psd4
analysis_id,71na7g9ota08lro
parameter_id,ESLIM_011_001_702
mouse_life_stage,Early adult
parameter_name,Prepulse inhibition - PP2
mouse_strain,C57BL
pvalue,0.5956226
gene_accession_id,MGI:2674093
