parameter_name,Retina (combined)
analysis_id,d7909c147g07iwk
gene_symbol,Lcn2
parameter_id,IMPC_EYE_092_001
mouse_strain,C57BL
pvalue,0.3430311
gene_accession_id,MGI:96757
mouse_life_stage,Early adult
