parameter_id,JAXLA_DXA_009_001
mouse_life_stage,Early adult
mouse_strain,129SV
gene_accession_id,MGI:104848
analysis_id,99ovtr486y250ul
pvalue,0.8564936
gene_symbol,Inpp1
parameter_name,Fat/Body weight
