mouse_life_stage,Late adult
gene_symbol,Secisbp2l
parameter_name,Lumbar processes
pvalue,0.9671713
analysis_id,i5p78h0u95tq3dv
parameter_id,IMPC_XRY_065_001
mouse_strain,C57BL
gene_accession_id,MGI:1917604
