gene_symbol,Orc2
pvalue,0.1649396
mouse_strain,C57BL
parameter_name,Resting CD8+ T cells - % of CD8+
analysis_id,160581d5uwb494k
parameter_id,MGP_MLN_014_001
gene_accession_id,MGI:1328306
mouse_life_stage,E9.5
