gene_symbol,Dnajc5b
mouse_strain,C57BL
pvalue,2.778764e-08
mouse_life_stage,Early adult
parameter_id,IMPC_ECG_028_001
gene_accession_id,MGI:1913576
analysis_id,2y6068rv4450o3b
parameter_name,QT
