analysis_id,5319n08n5t2t1f5
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Basophil differential count
gene_symbol,Lcn2
gene_accession_id,MGI:96757
pvalue,0.3181806
parameter_id,IMPC_HEM_038_001
