analysis_id,3n2a5r2c7hz92ah
gene_symbol,Eprs1
parameter_id,MGP_BMI_014_001
pvalue,0.2106554
parameter_name,Mature B cells (Hardy fraction F) - % of CD45+
mouse_strain,C57BL
gene_accession_id,MGI:97838
mouse_life_stage,E9.5
