parameter_name,% Freezing duration pre-cue-2
gene_symbol,Ola1
mouse_strain,C57BL
mouse_life_stage,E18.5
parameter_id,ICS_FEA_019_001
analysis_id,6j17139b41s8c8g
pvalue,0.2073809
gene_accession_id,MGI:1914309
