analysis_id,c1053575u41698q
parameter_name,Midbrain
mouse_life_stage,Early adult
pvalue,0.6861959
mouse_strain,C57BL
gene_accession_id,MGI:99915
gene_symbol,Lamb3
parameter_id,IMPC_GEL_029_001
