gene_symbol,Cds2
pvalue,0.6821836
gene_accession_id,MGI:1332236
parameter_name,Total CD4+ T cells - % of CD45+
mouse_life_stage,Early adult
parameter_id,MGP_IMM_071_001
mouse_strain,C57BL
analysis_id,2j85n7f1wcpm78t
