analysis_id,m3y5fi4s759b9v0
mouse_strain,C57BL
pvalue,0.4317311
parameter_id,M-G-P_012_001_005
gene_accession_id,MGI:96757
gene_symbol,Lcn2
mouse_life_stage,Early adult
parameter_name,Body Weight
