parameter_name,Gait
mouse_strain,C57BL
analysis_id,8wir30561y8406v
gene_symbol,Golm2
pvalue,0.3848442
gene_accession_id,MGI:2443129
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_033_001
