gene_symbol,Trim46
analysis_id,3ca373uik8trirw
pvalue,0.9597906
mouse_strain,C57BL
gene_accession_id,MGI:2673000
parameter_name,Clavicle
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_007_001
