analysis_id,07b56lijtnbms45
gene_accession_id,MGI:1918345
parameter_id,IMPC_IMM_004_001
mouse_strain,C57BL
pvalue,0.7666699
gene_symbol,Kif24
mouse_life_stage,Early adult
parameter_name,NKT cells (panel A)
