parameter_id,JAX_ROT_002_001
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Average duration
gene_symbol,Ntmt2
pvalue,0.2085416
gene_accession_id,MGI:2685053
analysis_id,1uoh66p31s95516
