gene_symbol,Zcchc2
analysis_id,9668o6n44vxzsde
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_021_001
parameter_name,Number of rears - total
mouse_strain,C57BL
gene_accession_id,MGI:2444114
pvalue,0.3553369
