parameter_name,Periphery permanence time
gene_symbol,Zcchc2
mouse_strain,C57BL
gene_accession_id,MGI:2444114
parameter_id,JAX_OFD_012_001
pvalue,0.663468
analysis_id,c39a9tgp9xl8pz0
mouse_life_stage,Early adult
