parameter_name,Clavicle
gene_symbol,Traf6
mouse_life_stage,Early adult
analysis_id,13u989rt1qgfffw
parameter_id,IMPC_XRY_007_001
gene_accession_id,MGI:108072
pvalue,0.4208675
mouse_strain,C57BL
