gene_symbol,Amigo1
pvalue,0.2402412
parameter_name,Creatinine
mouse_strain,C57BL
analysis_id,c67w47t0m9djq6n
parameter_id,IMPC_CBC_005_001
gene_accession_id,MGI:2653612
mouse_life_stage,Early adult
