mouse_life_stage,E18.5
pvalue,0.6969985
parameter_name,Effector gd T cells - % of gd T cells
analysis_id,0dl2x1fv1zbasgk
gene_symbol,Col11a1
parameter_id,MGP_IMM_020_001
gene_accession_id,MGI:88446
mouse_strain,C57BL
