parameter_name,Limb grasping
analysis_id,14vc016650us0j7
mouse_strain,C57BL
parameter_id,ESLIM_008_001_017
gene_symbol,Wars2
pvalue,0.3422434
mouse_life_stage,Early adult
gene_accession_id,MGI:1917810
