analysis_id,a2ul9tr3gp2t0qe
parameter_id,MGP_IMM_006_001
pvalue,0.9120171
mouse_life_stage,Late adult
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
mouse_strain,C57BL
gene_symbol,Nucks1
gene_accession_id,MGI:1934811
