analysis_id,7r71q1mwyh5517u
parameter_id,MGP_PBI_035_001
parameter_name,IgD+ mature B cell number
gene_accession_id,MGI:1914583
pvalue,0.5432001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Stk35
