gene_symbol,Ints7
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1924315
pvalue,0.5894398
parameter_id,IMPC_CSD_011_001
analysis_id,5iyb6t1mxo8083m
parameter_name,Coat - hair distribution - back
