analysis_id,rkw7f33s8v7zc2t
gene_accession_id,MGI:1914515
parameter_id,IMPC_ECH_003_001
mouse_strain,C57BL
pvalue,0.498618
gene_symbol,Slc39a10
parameter_name,Stroke Volume
mouse_life_stage,Early adult
