gene_symbol,Atg4c
parameter_id,MGP_PBI_003_001
analysis_id,b1c5a30fhmm49aj
pvalue,0.8424159
parameter_name,CD4+ alpha beta T cell percentage
gene_accession_id,MGI:2651854
mouse_life_stage,Early adult
mouse_strain,C57BL
