parameter_id,UCD_OWT_003_001
analysis_id,fy4krw1k45dbv2f
mouse_strain,C57BL
gene_accession_id,MGI:1888742
mouse_life_stage,Early adult
parameter_name,Spleen weight
gene_symbol,Extl1
pvalue,0.6021614
