gene_symbol,Snrpb2
mouse_strain,C57BL
parameter_id,JAX_OFD_015_001
parameter_name,Center resting time
gene_accession_id,MGI:104805
mouse_life_stage,Early adult
pvalue,0.9046502
analysis_id,486b73133d4762a
