analysis_id,513v5099epk1fh5
pvalue,0.6428977
parameter_id,IMPC_OFD_018_001
mouse_life_stage,Early adult
gene_accession_id,MGI:2670995
gene_symbol,Trp53i11
mouse_strain,C57BL
parameter_name,Latency to center entry
