analysis_id,dv7822sv22d6832
mouse_life_stage,Early adult
gene_accession_id,MGI:2385884
parameter_name,CD11b-low cDC - % of cDC
pvalue,0.1799713
mouse_strain,129SV
parameter_id,MGP_IMM_067_001
gene_symbol,Ddx27
