parameter_name,Lean/Body weight
pvalue,0.1580524
parameter_id,JAXLA_DXA_008_001
analysis_id,d569em19tb5y85t
gene_symbol,Ints7
gene_accession_id,MGI:1924315
mouse_strain,C57BL
mouse_life_stage,E9.5
