analysis_id,7f4l2xbs60to18d
mouse_strain,C57BL
gene_accession_id,MGI:2651854
pvalue,0.680681
parameter_id,IMPC_XRY_066_001
gene_symbol,Atg4c
parameter_name,Sacral processes
mouse_life_stage,Early adult
