gene_symbol,Abo
parameter_name,HRV
gene_accession_id,MGI:2135738
parameter_id,IMPC_ECG_010_001
mouse_life_stage,Early adult
pvalue,0.8120398
analysis_id,1168v2of89e2ij1
mouse_strain,C57BL
