parameter_id,IMPC_ECG_004_001
gene_symbol,Slc39a10
gene_accession_id,MGI:1914515
mouse_life_stage,Early adult
pvalue,0.9565179
mouse_strain,C57BL
analysis_id,i3ak4m71o8yxar4
parameter_name,RR
