parameter_name,Vocalization
gene_accession_id,MGI:1915033
parameter_id,IMPC_CSD_078_001
mouse_strain,C57BL
gene_symbol,Ahctf1
analysis_id,4k807342j87r5tv
mouse_life_stage,Early adult
pvalue,0.1177108
