analysis_id,1xmy2s51i408r1b
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.3898177
gene_symbol,Nanp
gene_accession_id,MGI:1914561
parameter_name,Follicular B cells - % of B2 cells
parameter_id,MGP_IMM_048_001
