parameter_name,Upper teeth appearance
mouse_life_stage,E12.5
gene_accession_id,MGI:1917810
mouse_strain,C57BL
pvalue,0.4715619
parameter_id,IMPC_CSD_069_001
gene_symbol,Wars2
analysis_id,qy37ll972cr38x0
