parameter_id,UCDLA_EYE_083_001
gene_symbol,Eprs1
parameter_name,Vitreous
mouse_strain,C57BL
pvalue,0.2427521
gene_accession_id,MGI:97838
mouse_life_stage,E9.5
analysis_id,vids70793t63764
