parameter_name,Centre resting time
mouse_life_stage,Early adult
gene_symbol,Wars2
parameter_id,ESLIM_007_001_011
gene_accession_id,MGI:1917810
pvalue,0.4907054
mouse_strain,C57BL
analysis_id,mma8487yt1lqu3m
